top - 13:19:19 up  2:08,  2 users,  load average: 0,97, 0,95, 1,00
Tasks: 344 total,   2 running, 342 sleeping,   0 stopped,   0 zombie
%Cpu(s):  6,9 us,  0,0 sy,  0,0 ni, 93,1 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st 
MiB Mem :  15337,5 total,    776,4 free,   8593,6 used,   6775,4 buff/cache     
MiB Swap:      0,0 total,      0,0 free,      0,0 used.   6743,9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1200 anton     20   0  530856   6364   5852 S   0,0   0,0   0:00.12 xdg-doc+
   1205 anton     20   0  306052   5700   5316 S   0,0   0,0   0:00.14 xdg-per+
   1212 root      20   0    2560   1788   1788 S   0,0   0,0   0:00.00 fusermo+
   1219 root      20   0  316224  11052   9132 S   0,0   0,1   0:00.70 upowerd
   1221 rtkit     21   1   20516   3016   2888 S   0,0   0,0   0:00.10 rtkit-d+
   1244 anton      9 -11  169384  15152   9524 S   0,0   0,1   0:00.16 pipewire
   1245 anton      9 -11  480436  18456  14616 S   0,0   0,1   0:00.45 wireplu+
   1277 root      10 -10       0      0      0 S   0,0   0,0   0:00.00 krfcommd
   1285 anton     20   0  942608  76536  40104 S   0,0   0,5   0:16.65 Xwayland
   1302 anton     20   0  379160   6412   5900 S   0,0   0,0   0:00.07 at-spi-+
   1313 anton     20   0    6812   3176   2920 S   0,0   0,0   0:00.00 dbus-br+
   1317 anton     20   0    4096   2240   2112 S   0,0   0,0   0:00.00 dbus-br+
   1325 anton     20   0 1159344  65032  48124 S   0,0   0,4   0:00.77 ksmserv+
   1327 anton     20   0 1846044 102128  75228 S   0,0   0,7   0:04.07 kded6
   1385 anton     20   0  229084   5460   5076 S   0,0   0,0   0:00.01 dconf-s+
   1402 anton     20   0 6213152 442908 170992 S   0,0   2,8   0:45.18 plasmas+
   1403 anton     20   0  232400   6348   5836 S   0,0   0,0   0:00.02 at-spi2+
   1414 anton      9 -11  174420  18308   8736 S   0,0   0,1   0:00.09 pipewir+
   1446 anton     20   0 1411652  58076  44912 S   0,0   0,4   0:01.04 kactivi+
   1449 anton     20   0 1079252  41060  29228 S   0,0   0,3   0:00.59 gmenudb+
   1450 anton     20   0 1159532  67172  50616 S   0,0   0,4   0:00.81 kaccess
   1451 anton     20   0 1433020  67280  52236 S   0,0   0,4   0:00.30 polkit-+
   1452 anton     20   0 1800516  71424  55672 S   0,0   0,5   0:02.30 org_kde+
   1454 anton     20   0 1832812  81060  57280 S   0,0   0,5   0:00.99 xdg-des+
   1455 anton     20   0 1078648  40144  28496 S   0,0   0,3   0:00.59 xembeds+
   1518 anton     20   0    7952   4480   4096 S   0,0   0,0   0:00.00 xsettin+
   1678 anton     20   0   36,8g 171468 111272 S   0,0   1,1   0:02.72 outline+
   1680 anton     20   0  661656  77888  46236 S   0,0   0,5   0:01.46 firewal+
   1682 anton     20   0 1632528  82980  64320 S   0,0   0,5   0:00.49 kdeconn+
   1687 anton     20   0 1774432  82412  56324 S   0,0   0,5   0:00.94 xwaylan+
   1695 anton     20   0   11588   1908   1600 S   0,0   0,0   0:02.44 Outline+
   1703 anton     20   0  309848   6376   5992 S   0,0   0,0   0:00.02 agent
   1862 anton     20   0 1883692 204556 176424 S   0,0   1,3   2:27.40 konsole
   1864 anton     20   0 1830620 168488 142176 S   0,0   1,1   0:34.43 konsole
   1867 anton     20   0 2505536 993,9m 266480 S   0,0   6,5   0:31.23 telegra+
   2033 anton     20   0   32,4g  56620  44716 S   0,0   0,4   0:00.13 outline+
   2039 anton     20   0   32,4g  56704  44672 S   0,0   0,4   0:00.13 outline+
   2109 anton     20   0   32,4g  14452   1928 S   0,0   0,1   0:00.00 outline+
   2172 anton     20   0    9096   7656   5736 S   0,0   0,0   0:00.04 bash
   2174 anton     20   0    9360   7816   5640 S   0,0   0,0   0:00.42 bash
   2321 anton     20   0   32,0g   2940   2684 S   0,0   0,0   0:00.00 chrome_+
   3170 anton     20   0   32,7g  96916  51996 S   0,0   0,6   0:00.73 outline+
   3234 anton     20   0   32,5g  76948  64024 S   0,0   0,5   0:00.56 outline+
   3266 anton     20   0   40,7g 164760 110548 S   0,0   1,0   0:01.88 outline+
   5984 root      20   0  155304   5308   5052 S   0,0   0,0   0:00.15 gpg-age+
   6727 root      20   0       0      0      0 I   0,0   0,0   0:00.41 kworker+
  15083 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 psimon
  17079 root      20   0       0      0      0 I   0,0   0,0   0:00.16 kworker+
  17169 anton     20   0 1132,3g 610344 223292 S   0,0   3,9   0:35.70 code
  17172 anton     20   0   32,7g 138048 125888 S   0,0   0,9   0:00.09 code
  17173 anton     20   0   32,7g 137632 125472 S   0,0   0,9   0:00.08 code
  17175 anton     20   0   32,7g  15700   3484 S   0,0   0,1   0:00.03 code
  17189 anton     20   0   32,0g   3132   2876 S   0,0   0,0   0:00.00 chrome_+
  17206 anton     20   0   33,0g 270080 176580 S   0,0   1,7   1:05.86 code
  17210 anton     20   0   32,5g 160156 146144 S   0,0   1,0   0:08.96 code
  17263 anton     20   0 1136,6g 499864 129076 S   0,0   3,2   3:58.01 code
  17301 anton     20   0 1132,1g 220496 158960 S   0,0   1,4   0:29.41 code
  17302 anton     20   0 1132,1g 185460 160364 S   0,0   1,2   0:14.99 code
  17321 anton     20   0 1132,1g 309692 165268 S   0,0   2,0   0:49.51 code
  18011 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  21176 root      20   0       0      0      0 I   0,0   0,0   0:00.07 kworker+
  22121 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  24654 root      20   0       0      0      0 I   0,0   0,0   0:05.17 kworker+
  25845 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  26328 anton     20   0  252548 202908  21560 S   0,0   1,3   1:05.32 cpptools
  29220 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  29228 anton     20   0 3845708 697756 363292 S   0,0   4,4   4:21.42 firefox
  29328 anton     20   0  251436  36552  27848 S   0,0   0,2   0:00.06 Socket +
  29340 anton     20   0   19,2g 421900 133508 S   0,0   2,7   2:42.52 WebExte+
  29370 anton     20   0 2715888 165964 116496 S   0,0   1,1   0:06.01 Privile+
  29478 anton     20   0  509500  48952  38328 S   0,0   0,3   0:00.15 Utility+
  29527 anton     20   0 2772976 264716 120928 S   0,0   1,7   0:14.32 Isolate+
  29612 anton     20   0 7254532 391828 119220 S   0,0   2,5   0:50.14 Isolate+
  29681 anton     20   0 2664500 155268  98492 S   0,0   1,0   0:03.76 Isolate+
  33039 anton     20   0 1132,0g 183296 149332 S   0,0   1,2   0:00.95 code
  37049 anton     20   0 2655616 170888 108876 S   0,0   1,1   0:13.46 Isolate+
  40382 anton     20   0 1132,0g 165636 145320 S   0,0   1,1   0:00.61 code
  42178 anton     20   0  257,4g 164000 146828 S   0,0   1,0   0:00.16 balooru+
  42587 root      20   0       0      0      0 I   0,0   0,0   0:00.06 kworker+
  43016 root      20   0       0      0      0 I   0,0   0,0   0:00.09 kworker+
  43162 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  43321 anton     20   0  558164  52416  41324 S   0,0   0,3   0:00.19 RDD Pro+
  43643 anton     20   0 2919680 338952 124944 S   0,0   2,2   0:45.60 Isolate+
  43958 anton     20   0 2467488  71044  57220 S   0,0   0,5   0:00.80 Web Con+
  46229 root       0 -20       0      0      0 I   0,0   0,0   0:00.14 kworker+
  46283 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  46959 root       0 -20       0      0      0 I   0,0   0,0   0:00.10 kworker+
  46992 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  46994 root      20   0       0      0      0 I   0,0   0,0   0:01.06 kworker+
  48722 root      20   0       0      0      0 I   0,0   0,0   0:03.39 kworker+
  50445 anton     20   0 2466480  72864  59424 S   0,0   0,5   0:00.53 Web Con+
  53453 anton     20   0  178812 139408  12336 S   0,0   0,9   0:03.21 cpptool+
  53498 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  55751 root      20   0       0      0      0 I   0,0   0,0   0:00.99 kworker+
  56935 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  57307 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  57310 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  57359 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  58614 anton     20   0 4266480 115304  57072 S   0,0   0,7   0:00.55 cpptool+
  59281 root      20   0       0      0      0 I   0,0   0,0   0:00.65 kworker+
  59468 anton     20   0 4265792 100120  44704 S   0,0   0,6   0:00.18 cpptool+
  59668 anton     20   0    7456   5348   5092 S   0,0   0,0   0:00.00 bash
  60768 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  61195 root      20   0       0      0      0 I   0,0   0,0   0:00.20 kworker+
  61317 root      20   0   14944   6140   5372 S   0,0   0,0   0:00.00 systemd+
  61397 anton     20   0 2359632 283376 199932 S   0,0   1,8   0:00.99 kscreen+
