top - 14:05:30 up  2:54,  2 users,  load average: 10,58, 9,92, 6,29
Tasks: 447 total,  16 running, 424 sleeping,   7 stopped,   0 zombie
%Cpu(s): 57,4 us, 41,8 sy,  0,3 ni,  0,3 id,  0,0 wa,  0,3 hi,  0,0 si,  0,0 st 
MiB Mem :  15337,5 total,    453,6 free,   9179,9 used,   6532,0 buff/cache     
MiB Swap:      0,0 total,      0,0 free,      0,0 used.   6157,6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     91 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/9
     92 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     93 root      rt   0       0      0      0 S   0,0   0,0   0:00.87 migrati+
     94 root      20   0       0      0      0 S   0,0   0,0   0:00.03 ksoftir+
     96 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     97 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/11
     98 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     99 root      rt   0       0      0      0 S   0,0   0,0   0:01.53 migrati+
    100 root      20   0       0      0      0 S   0,0   0,0   0:00.01 ksoftir+
    102 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    103 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/13
    104 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
    105 root      rt   0       0      0      0 S   0,0   0,0   0:01.12 migrati+
    106 root      20   0       0      0      0 S   0,0   0,0   0:00.01 ksoftir+
    108 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    109 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/15
    110 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
    111 root      rt   0       0      0      0 S   0,0   0,0   0:02.29 migrati+
    112 root      20   0       0      0      0 S   0,0   0,0   0:00.01 ksoftir+
    114 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    115 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kdevtmp+
    116 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    117 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kauditd
    118 root      20   0       0      0      0 S   0,0   0,0   0:00.01 khungta+
    120 root      20   0       0      0      0 S   0,0   0,0   0:00.00 oom_rea+
    121 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    122 root      20   0       0      0      0 S   0,0   0,0   0:04.38 kcompac+
    123 root      25   5       0      0      0 S   0,0   0,0   0:00.00 ksmd
    124 root      39  19       0      0      0 S   0,0   0,0   0:01.24 khugepa+
    125 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    126 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    127 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    129 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/9-a+
    131 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    132 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    133 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    134 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    135 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 watchdo+
    136 root       0 -20       0      0      0 I   0,0   0,0   0:00.03 kworker+
    137 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/25-+
    138 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/26-+
    139 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/27-+
    141 root      20   0       0      0      0 S   0,0   0,0   0:02.33 kswapd0
